"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Congo, República del","COG","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","702847495102.48","713664277539.733","747873117057.173","682215673750.125","931293193292.483","710330688093.49","863999587119.02","1094359783609.49","978182847923.048","1146212326314.99","1830944375828.66","1630965751346.99","1708504365685.58","1685493351023.91","1896342240823.19","2659381940000","3572444000000.01","3527461999999.99","4555801000000","4214485999999.98","6047146000000.02","6639732999999.98","8544912000000.02","8666636400772.44","8974420467374.87","6990735317337.7","5824444869040.29","5537297253308.67","6470966475913.18","5869192425723.02","4949618804733.67","",
"Colombia","COL","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27741506662581.7","36115776228486.3","46245959290899.8","61324754430705.8","79984549175136.9","100091273961829","118979640382205","143714515538371","166528763659065","179895322485040","204028556833000","220277195216400","238733413817000","263043220516300","297078585469900","329466000000000","371576000000000","415511000000000","460086000000000","486165000000000","524147999999999","592552000000000","641126999999999","689032999999999","740396999999999","793475999999999","854483000000001","903642000000002","962366999999999","1.03631E+15","983179214810164","",
"Comoras","COM","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107858807336.429","110375985826.728","112858479276.671","118975600164.222","122963350971.059","138173722731.924","140504500305.774","147472130730.66","151107221222.969","163234293285.869","187217165300","208307931500","221229211900","237264703500","249776575700","257897690200","273095104100","286184161000","305690156600","318892600300","336631062400.001","361318605000","388335848400","413557515699.999","426273142699.999","430053999999.999","452539000000.002","471808000000.001","493799000000","514605628499.999","528617999999.999","",
"Cabo Verde","CPV","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20371386627.0312","21562846871.4477","22932963665.3021","37169992929.122","31283367091.6947","35010301780.5968","41100198443.4782","45354970580.6714","50692222667.0515","60404442006.5013","67559229991.3815","73688869273.5114","76333949826.4287","83902140060.0072","86452095820.5988","89481071547.2724","100528227044.533","119444000000","131153000000","132437000000","132477000000","142126000000","143913622900.001","148356421900","146743762500","152829568100","159856555500.001","167125774200","179329765900","190971759799.999","160849065000","",
"Costa Rica","CRI","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","499734050000","858503976070.949","1125358179237.74","1333159235237.82","1632663357486.91","2053031164322.12","2404901099068.32","2907019640955.24","3451264010376.55","3924008631585.2","4414953325234.65","5012963960218.37","5691494479822.89","6568255348106.59","7805483996349.43","9217067534241.15","11274515105328.7","13529518234366.5","15896277819595.8","17044806834596.9","19166481374536.1","20895282773909.7","23008283119039.3","24535480779643","26845562754025.1","28880934357363","30704340945077.8","32548530514885.4","34066048197620.8","35361111501041","34090500683451.7","",
"Estados pequeos del Caribe","CSS","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21082274100","17484147700","16103126300","16296491300","20718616100","23305202100","24524500000","24882700000","25288000000","27850399999.9999","29943300000","31179700000.0001","32979826199.9999","35340723500.0001","37552770499.9999","42010636100","52124800000.0002","57644199999.9999","59751100000.0001","60437000000.0001","62895999999.9998","67925999999.9999","72145999999.9998","76225999999.9998","79602099999.9998","86013999999.9998","90085999999.9998","95497000000","98574999999.9998","","","",
"Curacao","CUW","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4266600000","4482400000.00001","4731900000.00002","5059300000","5049300000.00002","5263800000","5415372330.07118","5671122035.20173","5717162968.18051","5776546798.02713","5806390251.15575","5728365438.90594","5774780786.47974","5786675387.76793","5789019573.25731","4818942598.87292","",
"Islas Caimán","CYM","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3278430400","3370165300","2420815800","2205045200","2193643300","2327495600","2458929600.00002","2883704000.00001","3210661100","3744168400.00002","3524099999.99998","",
"Chipre","CYP","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4340172700","4544196300","5266519400","5562057100","6193491300","7290352000","7593679000","7914597000","9333178000","9172941000","9685411000","10602071000","11264447000","12321708000","13076712000","14051656000","15113258000","16389649000","18697901000","18623505000","19132821000","20324655999.9999","19305989000","17782367000","16964863000.0001","17767183000.0001","18174736000","19650618999.9999","20837499000.0001","21925930000","20267077000.0001","",
